,Position,Department,Institute,location,link,due
0,Tenure- and Instructional-track Faculty Positions in All Areas of Computer Science at All Ranks,Computer Science,University of Iowa,"Iowa City, IA",https://cra.org/job/university-of-iowa-tenure-and-instructional-track-faculty-positions-in-all-areas-of-computer-science-at-all-ranks/,01/01/2025
1,TT and NTT Faculty Positions,College of Information & Computer Sciences,University of Massachusetts Amherst,"Amherst, MA",https://cra.org/job/university-of-massachusetts-amherst-tt-ntt-faculty-positions-4/,
2,Multiple tenure-track positions in Computer Science and Engineering,Computer Science & Engineering,University of Minnesota,"Minneapolis, MN",https://cra.org/job/university-of-minnesota-multiple-tenure-track-positions-in-computer-science-engineering-3/,12/01/2024
3,Assistant Professor (TT) – Electrical and Computer Engineering – Heterogenous Computing,Electrical and Computer Engineering,University of Massachusetts Amherst,"Amherst, MA",https://cra.org/job/university-of-massachusetts-amherst-assistant-professor-tt-electrical-and-computer-engineering-heterogenous-computing/,08/31/2025
4,Assistant/Associate/Full Professor (Open Rank) Positions in Computer Science,Computer Science,The University of Texas at Dallas,"Richardson, TX",https://cra.org/job/the-university-of-texas-at-dallas-assistant-associate-full-professor-open-rank-positions-in-computer-science/,10/01/2024
5,Tenure-Track Assistant Professor Positions in Computer Science,Computer Science,The University of Texas at Dallas,"Richardson, TX",https://cra.org/job/the-university-of-texas-at-dallas-tenure-track-assistant-professor-positions-in-computer-science/,10/01/2024
6,Open Rank Faculty,Electrical and Computer Engineering Department,"University of California, Riverside","University of California, Riverside",https://cra.org/job/university-of-california-riverside-open-rank-faculty/,12/31/2024
7,Assistant Professor of Computer Science,Computer Science,William & Mary,"Williamsburg, VA",https://cra.org/job/william-mary-assistant-professor-of-computer-science-3/,08/10/2025
8,Tenure-track Assistant Professor of Computer Science (Artificial Intelligence),Department of Computer Science,University of Rochester,"Rochester, NY",https://cra.org/job/university-of-rochester-tenure-track-assistant-professor-of-computer-science-artificial-intellience/,01/01/2025
9,Tenured/Tenure-Track Faculty Positions,Computer Science,Johns Hopkins University,"Baltimore, MD",https://cra.org/job/johns-hopkins-university-tenured-tenure-track-faculty-positions/,10/01/2024
10,Multiple tenure-track faculty positions,Computer Science,Tufts University,"Boston, MA",https://cra.org/job/tufts-university-multiple-tenure-track-faculty-positions/,12/15/2024
11,Open Rank Faculty Position in Computer Science and Engineering Artificial Intelligence/Machine Learning – JPF01999,,"University of California, Riverside",Anywhere,https://cra.org/job/open-rank-faculty-position-in-computer-science-and-engineering-artificial-intelligence-machine-learning-jpf01999/,12/01/2024
12,"Assistant Professor of Computer Science, Machine Learning/AI",Computer Science,Dartmouth College,"Hanover, NH",https://cra.org/job/dartmouth-college-assistant-professor-of-computer-science-applied-machine-learning-ai/,12/01/2024
13,Tenure Track in Computer Science,,Rochester Institute of Technology,"Rochester, NY",https://cra.org/job/rochester-institute-of-technology-tenure-track-in-computer-science/,12/01/2024
14,Faculty Positions in Computer Science,Computer Science,Emory University,"Atlanta, GA",https://cra.org/job/emory-university-faculty-positions-in-computer-science/,12/01/2024
15,Assistant Professor of Computer Science,Computer Science,University of Richmond,"Richmond, VA",https://cra.org/job/university-of-richmond-assistant-professor-of-computer-science-5/,
